alpha,p_value_paramater,node_sizes,shd,precision,recall,percentage_hidden_nodes_recovered,number_of_edges_esitimation,number_of_edges_true,Normalized SHD
0.09,0.1,40,33,0.5588235294117647,0.5135135135135135,166.66666666666669,34,37,0.4647887323943662
0.1,0.05,10,6,0.75,0.375,0.0,4,8,0.5
0.1,0.05,15,12,0.5333333333333333,0.6153846153846154,250.0,15,13,0.42857142857142855
0.1,0.05,20,24,0.26666666666666666,0.23529411764705882,100.0,15,17,0.75
0.1,0.05,25,18,0.6,0.42857142857142855,50.0,15,21,0.5
0.1,0.05,30,20,0.6296296296296297,0.6296296296296297,116.66666666666667,27,27,0.37037037037037035
0.1,0.05,35,29,0.5652173913043478,0.40625,50.0,23,32,0.5272727272727272
0.1,0.05,40,46,0.3953488372093023,0.4594594594594595,300.0,43,37,0.575
0.1,0.07500000000000001,10,10,0.25,0.125,50.0,4,8,0.8333333333333334
0.1,0.07500000000000001,15,10,0.6153846153846154,0.6153846153846154,100.0,13,13,0.38461538461538464
0.1,0.07500000000000001,20,22,0.3076923076923077,0.23529411764705882,75.0,13,17,0.7333333333333333
0.1,0.07500000000000001,25,17,0.625,0.47619047619047616,25.0,16,21,0.4594594594594595
0.1,0.07500000000000001,30,20,0.64,0.5925925925925926,116.66666666666667,25,27,0.38461538461538464
0.1,0.07500000000000001,35,24,0.6818181818181818,0.46875,33.33333333333333,22,32,0.4444444444444444
0.1,0.07500000000000001,40,36,0.5142857142857142,0.4864864864864865,150.0,35,37,0.5
0.1,0.1,10,10,0.25,0.125,50.0,4,8,0.8333333333333334
0.1,0.1,15,11,0.5833333333333334,0.5384615384615384,100.0,12,13,0.44
0.1,0.1,20,17,0.5,0.35294117647058826,75.0,12,17,0.5862068965517241
0.1,0.1,25,22,0.47368421052631576,0.42857142857142855,100.0,19,21,0.55
0.1,0.1,30,23,0.5833333333333334,0.5185185185185185,100.0,24,27,0.45098039215686275
0.1,0.1,35,29,0.56,0.4375,100.0,25,32,0.5087719298245614
